
2023/06/11 (17:32:38) | ===> btop++ v.1.2.13
2023/06/11 (17:32:38) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/06/11 (17:33:11) | ===> btop++ v.1.2.13
2023/06/11 (17:33:11) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/06/11 (18:05:35) | ===> btop++ v.1.2.13
2023/06/11 (18:05:35) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/06/19 (15:44:24) | ===> btop++ v.1.2.13
2023/06/19 (15:44:24) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/06/19 (15:45:36) | ===> btop++ v.1.2.13
2023/06/19 (15:45:36) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/06/19 (15:45:47) | ===> btop++ v.1.2.13
2023/06/19 (15:45:47) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/06/19 (15:46:00) | ===> btop++ v.1.2.13
2023/06/19 (15:46:00) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/06/19 (15:46:55) | ===> btop++ v.1.2.13
2023/06/19 (15:46:55) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/07/03 (11:45:35) | ===> btop++ v.1.2.13
2023/07/03 (11:45:35) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/07/08 (13:49:10) | ===> btop++ v.1.2.13
2023/07/08 (13:49:10) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/07/08 (19:33:20) | ===> btop++ v.1.2.13
2023/07/08 (19:33:20) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/07/08 (19:58:54) | ===> btop++ v.1.2.13
2023/07/08 (19:58:54) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/07/09 (19:42:28) | ===> btop++ v.1.2.13
2023/07/09 (19:42:28) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/07/09 (19:46:43) | ===> btop++ v.1.2.13
2023/07/09 (19:46:43) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/07/14 (15:37:32) | ===> btop++ v.1.2.13
2023/07/14 (15:37:32) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/07/14 (15:38:10) | ===> btop++ v.1.2.13
2023/07/14 (15:38:10) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/07/14 (16:04:16) | ===> btop++ v.1.2.13
2023/07/14 (16:04:16) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/07/14 (20:38:32) | ===> btop++ v.1.2.13
2023/07/14 (20:38:32) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/07/14 (20:39:42) | ===> btop++ v.1.2.13
2023/07/14 (20:39:42) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/07/14 (20:40:23) | ===> btop++ v.1.2.13
2023/07/14 (20:40:23) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/07/14 (20:41:49) | ===> btop++ v.1.2.13
2023/07/14 (20:41:49) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/07/15 (22:04:46) | ===> btop++ v.1.2.13
2023/07/15 (22:04:46) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/07/15 (23:06:15) | ===> btop++ v.1.2.13
2023/07/15 (23:06:15) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/07/16 (13:32:40) | ===> btop++ v.1.2.13
2023/07/16 (13:32:40) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/07/18 (12:18:38) | ===> btop++ v.1.2.13
2023/07/18 (12:18:38) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/07/18 (14:51:15) | ===> btop++ v.1.2.13
